Unnamed: 0,Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),hard_mode_percentage,mean_tries,entropy with freq,has_duplicate,duplicate_count,letter_freq_sum,first_letter_freq
142,2022-08-11,418,glean,37301,3243,0,6,23,37,24,8,1,0.08694136886410551,4.04,4.964874242077138,0,0,594,17
141,2022-08-12,419,label,34198,3076,0,4,18,32,29,15,2,0.08994678051348032,4.39,4.5048207750229095,1,1,598,13
140,2022-08-13,420,hunky,35276,3185,0,1,11,33,25,22,7,0.09028801451411725,4.73,3.8333647009132465,0,0,318,11
139,2022-08-14,421,khaki,31652,2968,0,2,17,33,28,16,4,0.09376974598761531,4.51,3.591004968730174,1,1,400,3
138,2022-08-15,422,poker,35376,3180,0,4,17,30,27,17,5,0.08989145183175033,4.51,4.870254080349424,0,0,550,23
137,2022-08-16,423,gruel,35105,3087,0,3,19,39,29,9,1,0.08793619142572283,4.25,4.881394007476661,0,0,545,17
136,2022-08-17,424,twice,35815,3173,1,6,28,38,21,6,1,0.08859416445623342,3.97,4.537932872555827,0,0,516,30
135,2022-08-18,425,twang,34938,3172,0,3,22,43,25,7,1,0.09078939836281413,4.18,4.182907842841803,0,0,458,30
134,2022-08-19,426,shrug,33965,2987,0,4,23,36,26,10,1,0.08794347122037391,4.18,4.542651144587614,0,0,406,51
133,2022-08-20,427,treat,38245,3249,1,22,32,26,14,5,1,0.08495228134396653,3.52,4.820825945418755,1,1,737,30
132,2022-08-21,428,waste,35617,3186,1,7,19,27,24,17,5,0.08945166633910773,4.37,5.307858812880289,0,0,590,11
131,2022-08-22,429,merit,35888,3123,0,7,33,37,17,5,0,0.08702073116362015,3.76,5.221042983004298,0,0,604,20
130,2022-08-23,430,woven,33549,2933,0,2,13,32,32,17,3,0.08742436436257414,4.54,4.2378884461004365,0,0,460,11
129,2022-08-24,431,needy,33700,2927,0,2,21,41,26,9,1,0.08685459940652819,4.22,4.224566203700203,1,1,571,6
128,2022-08-25,432,clown,36737,3175,1,8,29,36,20,6,1,0.08642512997795139,3.91,4.128156498264637,0,0,434,33
127,2022-08-26,433,irony,34716,3046,0,6,29,34,21,8,1,0.08774052310173983,3.95,4.775953753885976,0,0,517,10
126,2022-08-27,434,ruder,31241,2784,0,2,16,33,29,16,4,0.08911366473544381,4.53,4.330566993137535,1,1,570,13
125,2022-08-28,435,gauze,30214,2866,0,2,11,24,31,25,8,0.09485668895214139,4.94,4.347971471333056,0,0,463,17
124,2022-08-29,436,chief,34281,3072,1,6,32,38,18,5,0,0.08961232169423296,3.81,4.279690422645248,0,0,459,33
123,2022-08-30,437,onset,33660,3009,0,4,29,40,21,6,1,0.0893939393939394,4.03,5.361160882922093,0,0,622,4
122,2022-08-31,438,prize,35343,3166,0,5,12,20,32,26,5,0.08957926604985429,4.77,4.471892209709096,0,0,488,23
121,2022-09-01,439,fungi,31903,2928,0,2,18,41,28,9,1,0.09177820267686425,4.23,3.819289640213347,0,0,337,22
120,2022-09-02,440,charm,35724,3149,1,12,32,34,16,5,1,0.0881480237375434,3.74,4.408088021317094,0,0,489,33
119,2022-09-03,441,gully,31191,2877,0,1,9,27,31,25,7,0.09223814561892854,4.91,3.504254435831563,1,1,400,17
118,2022-09-04,442,inter,32018,2889,0,6,25,36,23,8,1,0.09023049534636766,4.01,5.126567325930318,0,0,637,10
117,2022-09-05,443,whoop,32733,2970,0,1,16,47,29,7,1,0.09073412152873248,4.32,3.2217913973263386,1,1,430,11
116,2022-09-06,444,taunt,32734,3022,0,4,19,27,21,16,13,0.09231991201808518,4.65,4.349797344911459,1,1,571,30
115,2022-09-07,445,leery,30992,2873,0,3,17,37,28,12,2,0.09270134228187919,4.31,4.592721672439416,1,1,675,13
114,2022-09-08,446,class,31962,3001,0,4,21,32,22,13,7,0.0938927476378199,4.36,4.740995327409262,1,1,516,33
113,2022-09-09,447,theme,32172,2909,0,8,29,40,18,4,0,0.09042024120353102,3.77,4.175697632893221,1,1,623,30
112,2022-09-10,448,lofty,29237,2777,0,4,19,34,27,13,3,0.09498238533365257,4.35,4.300834335320315,0,0,469,13
111,2022-09-11,449,tibia,27887,2675,0,1,14,40,30,12,2,0.09592283142682971,4.4,4.0990005753199386,1,1,522,30
110,2022-09-12,450,booze,29147,2883,0,1,7,27,38,23,4,0.09891240951041273,4.87,3.6615836845057226,1,1,486,20
109,2022-09-13,451,alpha,29497,2706,0,3,19,40,28,9,1,0.09173814286198596,4.24,3.9082422412879834,1,1,564,28
108,2022-09-14,452,thyme,32142,2938,1,5,24,41,23,5,0,0.09140688196129675,3.92,4.361001574875012,0,0,500,30
107,2022-09-15,453,doubt,33344,3011,1,12,32,34,16,4,0,0.09030110364683301,3.61,4.365706246273472,0,0,412,12
106,2022-09-16,454,parer,37309,4130,0,0,4,11,15,22,48,0.1106971508215176,5.99,4.8192114550308345,1,1,675,23
105,2022-09-17,455,chute,33418,3073,0,11,37,36,12,3,0,0.09195643066610809,3.55,4.5447448781314135,0,0,519,33
104,2022-09-18,456,stick,33102,3038,1,9,36,35,14,4,0,0.09177693190743762,3.61,4.532104968325484,0,0,424,51
103,2022-09-19,457,trice,35050,3430,0,5,24,25,18,17,11,0.0978601997146933,4.51,5.195522051123522,0,0,620,30
102,2022-09-20,458,alike,31277,2843,0,6,20,33,27,12,2,0.09089746459059372,4.25,5.118546246174566,0,0,591,28
101,2022-09-21,459,recap,31976,2900,0,5,30,35,21,8,1,0.09069301976482362,4.0,5.006761135556998,0,0,612,13
100,2022-09-22,460,saint,34455,3119,1,14,35,29,15,5,1,0.09052387171673197,3.62,5.655642359291054,0,0,565,51
99,2022-09-23,461,glory,31509,2893,0,6,30,39,19,5,0,0.09181503697356311,3.83,4.53977154116116,0,0,491,17
98,2022-09-24,462,grate,32777,3077,1,14,29,28,16,8,3,0.0938768038563627,3.77,5.304788237499885,0,0,658,17
97,2022-09-25,463,admit,28994,2677,0,10,25,34,22,8,1,0.09232944747189073,3.96,4.614801090347192,0,0,499,28
96,2022-09-26,464,brisk,31706,2884,0,5,23,38,24,7,1,0.09096070144452154,4.0,4.54320198629038,0,0,388,20
95,2022-09-27,465,soggy,30985,2888,0,2,18,38,28,11,2,0.09320639018880103,4.3,4.000255928173762,1,1,383,51
94,2022-09-28,466,usurp,31355,3007,0,3,21,38,26,9,1,0.09590177005262318,4.12,3.7228896861470275,1,1,413,8
93,2022-09-29,467,scald,30477,2829,0,4,23,36,24,11,2,0.09282409685992715,4.21,5.070892352942641,0,0,483,51
92,2022-09-30,468,scorn,31223,2859,0,8,31,35,20,6,1,0.09156711398648432,3.92,5.059276757729089,0,0,513,51
91,2022-10-01,469,leave,28202,2696,0,4,16,34,31,12,1,0.09559605701723282,4.26,4.439784027054376,1,1,664,13
90,2022-10-02,470,twine,30088,2775,0,6,28,40,20,5,1,0.09222946024993353,3.93,4.7482494517212395,0,0,533,30
89,2022-10-03,471,sting,32288,2969,1,10,30,33,18,8,2,0.09195366699702676,3.95,4.741258911677159,0,0,457,51
88,2022-10-04,472,bough,32014,3060,0,3,17,35,28,13,3,0.0955831823577185,4.36,3.9034734578222645,0,0,349,20
87,2022-10-05,473,marxh,30935,2885,0,9,30,35,19,6,1,0.09326006141910458,3.86,,0,0,426,20
86,2022-10-06,474,sloth,32522,2987,1,10,38,34,13,3,0,0.09184551995572228,3.54,5.052486156143453,0,0,532,51
85,2022-10-07,475,dandy,29026,2840,0,2,11,23,29,24,11,0.09784331289189004,4.95,4.048225981509244,1,1,416,12
84,2022-10-08,476,vigor,26905,2642,0,2,15,35,31,14,2,0.09819736108530012,4.42,4.182349989864699,0,0,444,6
83,2022-10-09,477,howdy,28408,2668,0,2,13,32,32,17,4,0.09391720642072655,4.61,3.841334669000742,0,0,348,11
82,2022-10-10,478,enjoy,26878,2654,0,3,12,29,33,20,3,0.09874246595728849,4.64,3.946499235557611,0,0,470,10
81,2022-10-11,479,valid,28575,2752,0,4,28,38,21,8,1,0.0963079615048119,4.04,4.580846014103876,0,0,451,6
80,2022-10-12,480,ionic,29151,2947,0,2,13,25,28,21,11,0.10109430208226133,4.86,3.917435201634218,1,1,494,10
79,2022-10-13,481,equal,27197,2677,0,5,23,35,25,11,2,0.0984299738941795,4.24,4.145372386122089,0,0,524,10
78,2022-10-14,482,floor,28906,2752,0,3,23,44,24,6,0,0.0952051477201965,4.07,3.9040005452501405,1,1,545,22
77,2022-10-15,483,catch,30403,3123,0,7,18,20,15,16,23,0.10272012630332533,4.8,3.808067170805317,1,1,501,33
76,2022-10-16,484,spade,30459,2854,1,8,29,36,19,6,1,0.0936997275025444,3.86,5.353135948829006,0,0,548,51
75,2022-10-17,485,stein,31269,2965,1,12,34,32,16,5,1,0.09482234801240845,3.72,5.377481501402492,0,0,590,51
74,2022-10-18,486,exist,28612,2805,0,5,24,38,23,8,1,0.0980357891793653,4.04,4.465184488464706,0,0,510,10
73,2022-10-19,487,quirk,28322,2794,0,3,23,39,24,9,2,0.09865122519596074,4.19,3.658972568014021,0,0,339,3
72,2022-10-20,488,denim,28741,2769,0,5,29,40,20,5,0,0.09634320308966285,3.87,4.808191464944409,0,0,482,12
71,2022-10-21,489,grove,28637,2794,0,4,18,30,28,17,3,0.09756608583301324,4.45,4.485212856265863,0,0,527,17
70,2022-10-22,490,spiel,29084,2810,0,7,32,36,19,6,1,0.09661669646541053,3.92,5.419225182677665,0,0,548,51
69,2022-10-23,491,mummy,29279,3021,0,1,4,14,27,37,18,0.10317975340687865,5.53,2.554390936531955,1,2,290,20
68,2022-10-24,492,fault,28947,2768,0,7,27,35,22,8,1,0.09562303520226621,4.0,4.598284291033061,0,0,498,22
67,2022-10-25,493,foggy,28953,2817,0,2,13,35,32,15,3,0.09729561703450419,4.54,3.129802258025789,1,1,329,22
66,2022-10-26,494,flout,30063,2904,0,6,28,37,21,7,1,0.09659714599341383,3.98,4.294836140039832,0,0,472,22
65,2022-10-27,495,carry,27609,2615,0,4,22,35,24,12,3,0.09471549132529247,4.27,4.289594887246969,1,1,559,33
64,2022-10-28,496,sneak,27905,2636,0,7,28,36,21,7,1,0.094463357821179,3.96,5.251526098454962,0,0,553,51
63,2022-10-29,497,libel,25156,2536,0,3,15,32,32,16,2,0.10081093973604707,4.49,4.269460762236531,1,1,540,13
62,2022-10-30,498,waltz,24672,2496,0,2,11,29,35,19,3,0.10116731517509728,4.63,4.015315501933648,0,0,436,11
61,2022-10-31,499,aptly,26498,2572,0,3,26,41,23,7,1,0.09706392935315873,4.12,4.564327125936903,0,0,526,28
60,2022-11-01,500,piney,27502,3667,0,1,14,37,33,14,2,0.13333575739946185,4.55,4.889254439734926,0,0,498,23
59,2022-11-02,501,inept,27670,2640,0,6,30,39,20,6,1,0.09541019154318757,4.01,4.667356071406402,0,0,567,10
58,2022-11-03,502,aloud,29554,2819,1,18,31,30,15,4,1,0.09538471949651485,3.56,4.839922519888227,0,0,522,28
57,2022-11-04,503,photo,27330,2565,0,5,34,43,15,3,0,0.0938529088913282,3.77,3.7756062338549716,1,1,530,23
56,2022-11-05,504,dream,29743,2751,5,14,31,29,15,4,1,0.09249235114144505,3.48,5.060027515621887,0,0,586,12
55,2022-11-06,505,stale,31068,3013,2,19,30,27,15,6,2,0.09698081627397966,3.63,5.751408380504063,0,0,672,51
54,2022-11-07,506,begin,26096,2439,0,6,26,36,23,7,1,0.09346259963212752,3.98,4.52603058489623,0,0,455,20
53,2022-11-08,507,spell,27213,2531,0,4,24,37,24,9,1,0.09300701870429574,4.09,4.445304824412523,1,1,559,51
52,2022-11-09,508,rainy,28984,2678,1,16,38,31,11,3,1,0.09239580458183826,3.51,5.147087743202822,0,0,543,13
51,2022-11-10,509,unite,27467,2575,1,11,31,33,18,5,1,0.09374886227108895,3.75,4.9596049679915355,0,0,567,8
50,2022-11-11,510,medal,25993,2438,0,5,25,38,23,8,1,0.09379448313007348,4.07,5.0244368025143125,0,0,564,20
49,2022-11-12,511,valet,24660,2356,0,4,22,38,25,9,1,0.09553933495539335,4.12,5.000924663230002,0,0,610,6
48,2022-11-13,512,inane,25085,2515,0,8,25,30,21,13,3,0.10025911899541559,4.15,4.552130731291402,1,1,620,10
47,2022-11-14,513,maple,26536,2467,1,6,26,36,21,8,1,0.09296804341272234,3.95,5.086251671159373,0,0,574,20
46,2022-11-15,514,snarl,27475,2650,0,5,21,31,24,15,4,0.09645131938125569,4.35,5.420133649270165,0,0,580,51
45,2022-11-16,515,baker,25576,2541,0,5,16,23,24,22,10,0.09935095401939319,4.72,4.942172333117167,0,0,543,20
44,2022-11-17,516,there,27465,2530,0,14,35,33,14,4,0,0.09211724012379392,3.59,4.551731780111364,1,1,702,30
43,2022-11-18,517,glyph,29208,2899,0,2,23,49,20,5,1,0.09925362914270063,4.06,3.649221279473267,0,0,358,17
42,2022-11-19,518,avert,24749,2400,0,7,26,35,22,9,1,0.09697361509555942,4.03,4.773344835298022,0,0,632,28
41,2022-11-20,519,brave,24991,2396,1,6,17,27,27,18,5,0.09587451482533713,4.5,4.6509029380371,0,0,533,20
40,2022-11-21,520,axiom,24288,2382,0,5,19,33,27,13,3,0.09807312252964427,4.33,4.091085797025396,0,0,456,28
39,2022-11-22,521,prime,27437,2534,1,10,26,32,21,9,1,0.09235703611910923,3.93,4.935958964427568,0,0,538,23
38,2022-11-23,522,drive,26663,2451,1,12,32,30,18,6,1,0.09192513970670967,3.74,4.6432821702446025,0,0,498,12
37,2022-11-24,523,feast,27705,2725,5,13,25,27,19,10,2,0.09835769716657643,3.83,5.192909907289926,0,0,593,22
36,2022-11-25,524,itchy,24197,2329,0,8,28,40,18,5,1,0.09625160143819482,3.87,3.8686958354637837,0,0,433,10
35,2022-11-26,525,clean,26381,2424,1,17,36,31,12,3,0,0.09188431067813957,3.45,5.076108103276312,0,0,614,33
34,2022-11-27,526,happy,25206,2356,0,6,28,39,19,6,1,0.09346980877568833,3.9,3.6299601778500437,1,1,418,11
33,2022-11-28,527,tepid,26051,2484,0,10,38,35,13,3,0,0.09535142604890408,3.57,4.863007670833671,0,0,533,30
32,2022-11-29,528,undue,23739,2316,0,3,19,35,29,13,2,0.0975609756097561,4.4,3.8533492590935103,1,1,454,8
31,2022-11-30,529,study,25569,2405,0,6,30,33,19,10,2,0.09405921232742774,4.03,4.564042610281186,0,0,396,51
30,2022-12-01,530,eject,22628,2200,0,2,11,35,36,14,2,0.0972246773908432,4.55,3.4575152634289554,1,1,573,10
29,2022-12-02,531,chafe,24646,2343,0,6,30,33,19,9,2,0.09506613649273715,3.97,4.432443171877233,0,0,517,33
28,2022-12-03,532,torso,23873,2260,0,4,35,36,17,6,1,0.09466761613538306,3.85,4.731411602666098,1,1,617,30
27,2022-12-04,533,adore,25577,2398,2,17,32,29,15,5,1,0.09375610900418345,3.6,5.316205955050214,0,0,664,28
26,2022-12-05,534,woken,23153,2200,0,2,10,25,36,23,4,0.09502008379043753,4.8,4.467050317791038,0,0,470,11
25,2022-12-06,535,amber,23509,2261,0,6,22,33,24,12,3,0.09617593262154919,4.23,4.874845620347111,0,0,563,28
24,2022-12-07,536,joust,24899,2388,0,6,29,34,21,8,2,0.09590746616329973,4.02,4.309680441733637,0,0,418,2
23,2022-12-08,537,infer,21199,1863,0,3,19,33,26,14,3,0.08788150384452097,4.3,4.6272128696097825,0,0,540,10
22,2022-12-09,538,braid,23640,2165,0,10,36,35,14,3,0,0.09158206429780034,3.56,4.903308796897351,0,0,479,20
21,2022-12-10,539,knock,21157,2041,0,3,18,43,27,8,1,0.09646925367490665,4.22,3.3516333185032154,1,1,362,3
20,2022-12-11,540,naïve,21947,2075,1,7,24,32,24,11,1,0.0945459516106985,4.08,,0,0,457,6
19,2022-12-12,541,apply,22873,2150,0,5,28,38,22,7,1,0.09399728938049229,4.05,3.759582713233449,1,1,460,28
18,2022-12-13,542,spoke,24101,2224,0,6,31,38,19,5,0,0.09227832870005394,3.82,5.019073033242195,0,0,503,51
17,2022-12-14,543,usual,20824,2048,0,3,20,39,27,10,1,0.09834805993084902,4.24,4.155966162947415,1,1,486,8
16,2022-12-15,544,rival,22176,2127,0,7,27,35,22,8,1,0.09591450216450216,4.0,4.645543077221008,0,0,531,13
15,2022-12-16,545,probe,22853,2160,0,6,24,32,24,11,3,0.09451713123003544,4.19,4.850830076064433,0,0,546,23
14,2022-12-17,546,chord,22336,2088,0,7,39,38,13,3,0,0.09348137535816618,3.66,4.418269423062089,0,0,462,33
13,2022-12-18,547,taper,22166,2108,0,8,28,30,20,11,3,0.09510060452945954,4.07,5.414818073561886,0,0,671,30
12,2022-12-19,548,slate,26010,2422,6,14,33,27,13,5,1,0.09311803152633602,3.43,5.872430217496517,0,0,672,51
11,2022-12-20,549,third,24137,2261,1,10,47,32,9,2,0,0.09367361312507769,3.47,4.614590997619433,0,0,489,30
10,2022-12-21,550,lunar,22180,2036,0,5,32,40,17,4,0,0.09179440937781785,3.75,5.025647167688728,0,0,557,13
9,2022-12-22,551,excel,20490,2034,0,1,13,34,34,15,2,0.0992679355783309,4.51,3.5996027927914307,1,1,559,10
8,2022-12-23,552,aorta,21937,2112,0,7,26,35,20,10,3,0.09627569859142089,4.13,4.837007000099439,1,1,715,28
7,2022-12-24,553,poise,20281,1911,2,11,34,32,15,6,1,0.09422612297224003,3.72,5.407526374667958,0,0,569,23
6,2022-12-25,554,extra,15554,1562,1,5,20,35,28,10,1,0.10042432814710042,4.18,4.472400905458877,0,0,615,10
5,2022-12-26,555,judge,20011,2043,0,2,8,16,26,33,14,0.10209384838338914,5.18,3.766190296704447,0,0,357,2
4,2022-12-27,556,condo,20879,2012,0,2,17,35,29,14,3,0.09636476842760669,4.45,3.926871600960631,1,1,479,33
3,2022-12-28,557,impel,20160,1937,0,3,21,40,25,9,1,0.09608134920634921,4.15,4.599767645405228,0,0,516,10
2,2022-12-29,558,havoc,20001,1919,0,2,16,38,30,12,2,0.09594520273986301,4.4,4.037979323496683,0,0,458,11
1,2022-12-30,559,molar,21204,1973,0,4,21,38,26,9,1,0.09304848141860027,4.14,5.142052549148611,0,0,593,20
0,2022-12-31,560,manly,20380,1899,0,2,17,37,29,12,2,0.09317958783120707,4.34,4.751313611535919,0,0,475,20
